Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;EUR;41.78;42.55;41.78;42.50;08/03/2024 17:35;CET;144035;6107694.90;42.50;08/03/2024
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;EUR;15.05;15.17;14.845;14.845;08/03/2024 17:36;CET;3595531;53706070.24;14.845;08/03/2024
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;EUR;0.624;0.625;0.611;0.62;08/03/2024 17:35;CET;217661;134.932.288;0.62;08/03/2024
ACOMO;NL0000313286;ACOMO;Euronext Amsterdam;EUR;17.52;17.60;17.46;17.54;08/03/2024 17:35;CET;12362;216418.34;17.54;08/03/2024
ADUX;FR0012821890;ADUX;Euronext Paris, Amsterdam;EUR;1.25;1.32;1.24;1.32;08/03/2024 17:35;CET;9560;12096.99;1.32;08/03/2024
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;EUR;1500.80;1504.80;1475.80;1482.60;08/03/2024 17:35;CET;64430;95899823.80;1482.60;08/03/2024
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;52.35;53.40;51.65;53.05;08/03/2024 17:35;CET;78352;4132628.45;53.05;08/03/2024
AEGON;BMG0112X1056;AGN;Euronext Amsterdam;EUR;5.412;5.442;5.358;5.37;08/03/2024 17:36;CET;5284481;28.434.143.886;5.37;08/03/2024
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam, Brussels;EUR;27.945;28.065;27.81;28.00;08/03/2024 17:38;CET;1448878;40521657.49;28.00;08/03/2024
AIR FRANCE -KLM;FR001400J770;AF;Euronext Paris, Amsterdam;EUR;9.829;9.906;9.689;9.714;08/03/2024 17:35;CET;1263531;12.335.815.052;9.714;08/03/2024
AJAX;NL0000018034;AJAX;Euronext Amsterdam;EUR;10.30;10.30;10.00;10.10;08/03/2024 17:35;CET;1164;11791.15;10.10;08/03/2024
AKZO NOBEL;NL0013267909;AKZA;Euronext Amsterdam;EUR;66.34;66.70;66.22;66.68;08/03/2024 17:35;CET;376566;25087865.68;66.68;08/03/2024
ALFEN;NL0012817175;ALFEN;Euronext Amsterdam;EUR;49.00;49.98;48.04;49.12;08/03/2024 17:35;CET;183835;9030757.60;49.12;08/03/2024
ALLFUNDS GROUP;GB00BNTJ3546;ALLFG;Euronext Amsterdam;EUR;6.55;6.57;6.475;6.51;08/03/2024 17:39;CET;1010951;6592857.21;6.51;08/03/2024
ALMUNDA PRO NV;NL0010696704;AMUND;Euronext Amsterdam;EUR;1.21;1.26;1.21;1.26;08/03/2024 15:28;CET;101;122.26;1.26;08/03/2024
ALUMEXX N.V.;NL0012194724;ALX;Euronext Amsterdam;EUR;1.37;1.39;1.37;1.38;08/03/2024 17:02;CET;1482;2042.52;1.38;08/03/2024
AMG;NL0000888691;AMG;Euronext Amsterdam;EUR;21.62;21.68;21.05;21.31;08/03/2024 17:37;CET;159704;3406814.12;21.31;08/03/2024
APERAM;LU0569974404;APAM;Euronext Amsterdam, Brussels, Paris;EUR;26.20;26.78;26.04;26.65;08/03/2024 17:35;CET;170177;4512370.96;26.65;08/03/2024
ARCADIS;NL0006237562;ARCAD;Euronext Amsterdam;EUR;55.95;56.55;55.85;56.30;08/03/2024 17:35;CET;106641;6005924.85;56.30;08/03/2024
ARCELORMITTAL SA;LU1598757687;MT;Euronext Amsterdam, Paris;EUR;23.89;24.055;23.72;23.875;08/03/2024 17:35;CET;1657041;39607761.92;23.875;08/03/2024
ASM INTERNATIONAL;NL0000334118;ASM;Euronext Amsterdam;EUR;601.20;606.00;575.80;577.40;08/03/2024 17:39;CET;162354;95015691.20;577.40;08/03/2024
ASML HOLDING;NL0010273215;ASML;Euronext Amsterdam;EUR;954.50;958.40;923.40;923.40;08/03/2024 17:39;CET;576094;541447577.40;923.40;08/03/2024
ASR NEDERLAND;NL0011872643;ASRNL;Euronext Amsterdam;EUR;42.66;43.00;42.56;42.65;08/03/2024 17:35;CET;380540;16258227.75;42.65;08/03/2024
AVANTIUM;NL0012047823;AVTX;Euronext Amsterdam, Brussels;EUR;2.145;2.18;2.11;2.12;08/03/2024 17:35;CET;261943;562.096.925;2.12;08/03/2024
AZERION;NL00150006Z9;AZRN;Euronext Amsterdam;EUR;1.70;1.72;1.67;1.70;08/03/2024 17:35;CET;65867;111746.41;1.70;08/03/2024
AZERION WARRANTS;NL00150007A0;AZRNW;Euronext Amsterdam;EUR;0.001;0.001;0.001;0.001;06/02/2024 16:53;CET;60000;60.00;0.001;08/03/2024
B&S Group;LU1789205884;BSGR;Euronext Amsterdam;EUR;3.62;3.66;3.585;3.585;08/03/2024 17:35;CET;42752;154.993.105;3.585;08/03/2024
BAM GROEP KON;NL0000337319;BAMNB;Euronext Amsterdam;EUR;3.454;3.468;3.404;3.416;08/03/2024 17:35;CET;1269274;4356232.63;3.416;08/03/2024
BASIC-FIT;NL0011872650;BFIT;Euronext Amsterdam;EUR;24.30;24.40;23.40;23.62;08/03/2024 17:35;CET;276884;6593715.56;23.62;08/03/2024
BE SEMICONDUCTOR;NL0012866412;BESI;Euronext Amsterdam;EUR;171.35;175.00;149.10;149.35;08/03/2024 17:39;CET;1538634;245776139.05;149.35;08/03/2024
BENEVOLENTAI;LU2355630455;BAI;Euronext Amsterdam;EUR;0.69;0.74;0.69;0.69;08/03/2024 17:35;CET;4485;3108.15;0.69;08/03/2024
BENEVOLENTAI W;LU2355630968;BAIW;Euronext Amsterdam;EUR;0.014;0.014;0.01;0.01;15/06/2023 12:57;CET;30000;375.00;0.01;08/03/2024
BEVER HOLDING;NL0000285278;BEVER;Euronext Amsterdam;EUR;2.52;2.52;2.52;2.52;08/03/2024 11:30;CET;106;267.12;2.52;08/03/2024
BM3EAC;KYG137071075;BACE;Euronext Amsterdam;USD;10.00;10.00;10.00;10.00;14/03/2023 9:43;CET;354;3540.00;10.00;08/03/2024
BOUSSARD GAVAUDAN;GG00B1FQG453;BGHL;Euronext Amsterdam;EUR;25.60;25.60;25.60;25.60;08/03/2024 17:04;CET;2821;72217.60;25.60;08/03/2024
BOUSSARD GHL GBP;GG00B39VMM07;BGHS;Euronext Amsterdam;GBP;10.00;10.00;10.00;10.00;21/12/2010 11:50;CET;188;2210.99;10.00;08/03/2024
BRILL KON;NL0000442523;BRILL;Euronext Amsterdam;EUR;27.40;27.40;27.40;27.40;28/02/2024 11:44;CET;100;2740.00;27.40;08/03/2024
BRUNEL INTERNAT;NL0010776944;BRNL;Euronext Amsterdam;EUR;10.30;10.30;10.12;10.12;08/03/2024 17:35;CET;25217;256917.02;10.12;08/03/2024
CABKA;NL00150000S7;CABKA;Euronext Amsterdam;EUR;4.67;4.80;4.62;4.70;08/03/2024 17:14;CET;5312;25123.52;4.70;08/03/2024
CABKA DSC2 TS;NL00150002R5;DSC2S;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;0.01;08/03/2024
CABKA EUR 12W;NL00150000U3;DSCW2;Euronext Amsterdam;EUR;0.004;0.004;0.004;0.004;08/03/2024 9:40;CET;8;0.032;0.004;08/03/2024
CABKA EUR 13W;NL00150000V1;DSCW3;Euronext Amsterdam;EUR;0.0045;0.0045;0.0045;0.0045;08/03/2024 9:40;CET;8;0.036;0.0045;08/03/2024
CM.COM;NL0012747059;CMCOM;Euronext Amsterdam;EUR;7.23;7.265;7.00;7.03;08/03/2024 17:35;CET;35950;254175.46;7.03;08/03/2024
Coca-ColaEuropacif;GB00BDCPN049;CCEP;Euronext Amsterdam;EUR;64.50;65.40;64.10;64.70;08/03/2024 17:35;CET;19270;1248050.90;64.70;08/03/2024
CORBION;NL0010583399;CRBN;Euronext Amsterdam;EUR;20.76;20.76;19.94;20.08;08/03/2024 17:35;CET;96191;1939820.32;20.08;08/03/2024
CTAC;NL0000345577;CTAC;Euronext Amsterdam;EUR;3.46;3.56;3.46;3.46;08/03/2024 14:51;CET;16164;55940.24;3.46;08/03/2024
CTP;NL00150006R6;CTPNV;Euronext Amsterdam;EUR;15.32;16.00;15.22;16.00;08/03/2024 17:35;CET;185854;2953578.86;16.00;08/03/2024
DGB GROUP N.V.;NL0009169515;DGB;Euronext Amsterdam;EUR;0.502;0.526;0.48;0.526;07/03/2024 17:08;CET;17500;8737.60;0.526;08/03/2024
DSM FIRMENICH AG;CH1216478797;DSFIR;Euronext Amsterdam;EUR;102.00;102.88;101.16;102.78;08/03/2024 17:35;CET;304714;31201331.78;102.78;08/03/2024
EASE2PAY NV;NL0000345627;EAS2P;Euronext Amsterdam;EUR;0.598;0.60;0.58;0.58;08/03/2024 17:35;CET;4903;2858.10;0.58;08/03/2024
EBUSCO HOLDING;NL0015000CZ2;EBUS;Euronext Amsterdam;EUR;3.116;3.15;2.992;3.004;08/03/2024 17:35;CET;256421;777434.02;3.004;08/03/2024
EHC ORD SHARES;NL0015000K10;EHCS;Euronext Amsterdam;EUR;9.95;9.95;9.95;9.95;08/03/2024 15:35;CET;1;9.95;9.95;08/03/2024
EHC TREAS SHARES;NL0015000K02;EHCT;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;0.01;08/03/2024
ENVIPCO;NL0015000GX8;ENVI;Euronext Amsterdam;EUR;5.45;5.45;5.15;5.35;08/03/2024 17:35;CET;110425;587623.20;5.35;08/03/2024
EUROCASTLE INVEST.;GB00B94QM994;ECT;Euronext Amsterdam;EUR;7.85;7.85;7.85;7.85;08/03/2024 15:33;CET;1;7.85;7.85;08/03/2024
EUROCOMMERCIAL;NL0015000K93;ECMPA;Euronext Amsterdam, Brussels;EUR;20.00;20.18;19.76;20.12;08/03/2024 17:35;CET;29911;599644.00;20.12;08/03/2024
EURONEXT;NL0006294274;ENX;Euronext Paris, Amsterdam, Brussels;EUR;84.85;85.10;84.55;84.70;08/03/2024 17:35;CET;146748;12435082.75;84.70;08/03/2024
EXOR NV;NL0012059018;EXO;Euronext Amsterdam;EUR;100.40;101.70;100.20;101.40;08/03/2024 17:35;CET;70763;7164605.75;101.40;08/03/2024
FAGRON;BE0003874915;FAGR;Euronext Brussels, Amsterdam;EUR;17.86;17.97;17.55;17.55;08/03/2024 17:35;CET;42116;742288.01;17.55;08/03/2024
FASTNED;NL0013654809;FAST;Euronext Amsterdam;EUR;25.25;25.35;24.55;24.55;08/03/2024 17:35;CET;15973;395254.10;24.55;08/03/2024
FERROVIAL;NL0015001FS8;FER;Euronext Amsterdam;EUR;35.35;35.35;34.85;34.85;08/03/2024 17:35;CET;1882;66204.15;34.85;08/03/2024
FL ENTERTAINMENT;NL0015000X07;FLE;Euronext Amsterdam;EUR;9.25;9.30;9.25;9.30;08/03/2024 15:34;CET;1433;13316.80;9.30;08/03/2024
FLE WARRANTS;NL0015000H56;FLEW;Euronext Amsterdam;EUR;0.25;0.25;0.25;0.25;15/03/2022 11:07;CET;163;40.75;0.25;08/03/2024
FLOW TRADERS;BMG3602E1084;FLOW;Euronext Amsterdam;EUR;17.18;17.22;16.99;17.11;08/03/2024 17:35;CET;74272;1270902.71;17.11;08/03/2024
FORFARMERS;NL0011832811;FFARM;Euronext Amsterdam;EUR;2.40;2.40;2.36;2.365;08/03/2024 17:38;CET;59527;141.325.315;2.365;08/03/2024
FUGRO;NL00150003E1;FUR;Euronext Amsterdam;EUR;21.92;22.06;21.70;21.78;08/03/2024 17:35;CET;236853;5185307.70;21.78;08/03/2024
GALAPAGOS;BE0003818359;GLPG;Euronext Amsterdam, Brussels;EUR;31.50;31.92;31.43;31.65;08/03/2024 17:35;CET;65323;2069195.05;31.65;08/03/2024
GIG;GG00BMB5XZ39;CABLE;Euronext Amsterdam;GBP;5.70;5.70;5.70;5.70;17/01/2024 11:26;CET;129;735.30;5.70;08/03/2024
HAL TRUST;BMG455841020;HAL;Euronext Amsterdam;EUR;122.00;124.00;122.00;123.40;08/03/2024 17:35;CET;15223;1874692.00;123.40;08/03/2024
HEIJMANS KON;NL0009269109;HEIJM;Euronext Amsterdam;EUR;16.50;16.64;16.06;16.44;08/03/2024 17:35;CET;306576;5029340.90;16.44;08/03/2024
HEINEKEN;NL0000009165;HEIA;Euronext Amsterdam;EUR;86.90;87.46;86.56;86.68;08/03/2024 17:35;CET;446603;38754397.50;86.68;08/03/2024
HEINEKEN HOLDING;NL0000008977;HEIO;Euronext Amsterdam;EUR;72.20;72.50;72.00;72.45;08/03/2024 17:35;CET;64040;4637148.20;72.45;08/03/2024
HOLLAND COLOURS;NL0000440311;HOLCO;Euronext Amsterdam;EUR;90.00;90.00;90.00;90.00;07/03/2024 17:07;CET;100;9000.00;90.00;08/03/2024
HYDRATEC;NL0009391242;HYDRA;Euronext Amsterdam;EUR;139.00;139.00;139.00;139.00;08/03/2024 16:30;CET;75;10425.00;139.00;08/03/2024
IEX GROUP NV;NL0010556726;IEX;Euronext Amsterdam;EUR;1.69;1.69;1.69;1.69;08/03/2024 16:30;CET;1;1.69;1.69;08/03/2024
IMCD;NL0010801007;IMCD;Euronext Amsterdam;EUR;159.15;161.00;159.15;160.50;08/03/2024 17:35;CET;127113;20390168.25;160.50;08/03/2024
ING GROEP N.V.;NL0011821202;INGA;Euronext Amsterdam, Brussels;EUR;13.39;13.55;13.354;13.496;08/03/2024 17:35;CET;8823527;119057488.54;13.496;08/03/2024
INPOST;LU2290522684;INPST;Euronext Amsterdam;EUR;14.63;14.66;14.47;14.52;08/03/2024 17:35;CET;219468;3192374.33;14.52;08/03/2024
IRIS FINANCIAL SHA;KYG7552D1016;IRIS;Euronext Amsterdam;USD;10.00;10.00;10.00;10.00;02/05/2022 0:00;CET;-;-;10.00;08/03/2024
IRIS FINANCIAL UNI;KYG7552D1271;IRISU;Euronext Amsterdam;USD;10.00;10.00;10.00;10.00;27/04/2022 0:00;CET;-;-;10.00;08/03/2024
IRIS FINANCIAL WAR;KYG7552D1198;IRISW;Euronext Amsterdam;USD;0.90;0.90;0.90;0.90;02/05/2022 0:00;CET;-;-;0.90;08/03/2024
JDE PEET'S;NL0014332678;JDEP;Euronext Amsterdam;EUR;21.14;21.16;20.94;20.94;08/03/2024 17:35;CET;156713;3283944.00;20.94;08/03/2024
JUST EAT TAKEAWAY;NL0012015705;TKWY;Euronext Amsterdam;EUR;13.122;13.256;12.828;12.98;08/03/2024 17:37;CET;2112274;27.480.466.964;12.98;08/03/2024
KENDRION;NL0000852531;KENDR;Euronext Amsterdam;EUR;12.58;12.72;12.50;12.70;08/03/2024 17:35;CET;39254;494197.64;12.70;08/03/2024
KPN KON;NL0000009082;KPN;Euronext Amsterdam;EUR;3.408;3.44;3.394;3.44;08/03/2024 17:39;CET;10270336;35240321.36;3.44;08/03/2024
LAVIDE HOLDING;NL0010545679;LVIDE;Euronext Amsterdam;EUR;0.286;0.298;0.286;0.298;08/03/2024 16:26;CET;1675;493.09;0.298;08/03/2024
LUCASBOLS;NL0010998878;BOLS;Euronext Amsterdam;EUR;17.00;17.00;15.50;16.05;08/03/2024 17:13;CET;2501;40659.25;16.05;08/03/2024
MAREL;IS0000000388;MAREL;Euronext Amsterdam;EUR;3.20;3.20;3.13;3.18;08/03/2024 17:37;CET;167231;533240.82;3.18;08/03/2024
MKB Nedsense;NL0009312842;NEDSE;Euronext Amsterdam;EUR;0.075;0.0755;0.072;0.0755;08/03/2024 16:19;CET;45953;33.910.895;0.0755;08/03/2024
MOREFIELD GROUP;CWN814651014;MORE;Euronext Amsterdam;EUR;0.40;0.42;0.40;0.418;08/03/2024 15:37;CET;3958;1602.19;0.418;08/03/2024
MOTORK;GB00BMXH3352;MTRK;Euronext Amsterdam;EUR;4.12;4.14;4.10;4.11;08/03/2024 17:35;CET;32362;133089.45;4.11;08/03/2024
NAI ORD SHARES;NL0015000CG2;NAI;Euronext Amsterdam;EUR;9.40;9.40;9.40;9.40;08/03/2024 15:37;CET;1;9.40;9.40;08/03/2024
NAI TREAS SHARES;NL0015000CF4;NAITR;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-;0.04;08/03/2024
