Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
AB INBEV;BE0974293251;ABI;Euronext Brussels;EUR;56.32;56.80;56.24;56.61;08/03/2024 17:38;CET;839630;47533087.38;56.61;08/03/2024
ABO GROUP;BE0974278104;ABO;Euronext Brussels, Paris;EUR;5.70;5.70;5.60;5.70;08/03/2024 16:12;CET;1300;7354.50;5.70;08/03/2024
ACCENTIS;BE0003696102;ACCB;Euronext Brussels;EUR;0.03;0.03;0.0286;0.0288;08/03/2024 16:38;CET;2403448;69.283.972;0.0288;08/03/2024
ACKERMANS V.HAAREN;BE0003764785;ACKB;Euronext Brussels;EUR;158.60;161.00;158.40;160.70;08/03/2024 17:35;CET;40745;6516958.70;160.70;08/03/2024
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;52.35;53.40;51.65;53.05;08/03/2024 17:35;CET;78352;4132628.45;53.05;08/03/2024
AGEAS;BE0974264930;AGS;Euronext Brussels;EUR;38.85;39.03;38.48;38.91;08/03/2024 17:35;CET;497482;19303367.55;38.91;08/03/2024
AGFA-GEVAERT;BE0003755692;AGFB;Euronext Brussels;EUR;1.06;1.06;0.983;0.993;08/03/2024 17:35;CET;766855;769.899.638;0.993;08/03/2024
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam, Brussels;EUR;27.945;28.065;27.81;28.00;08/03/2024 17:38;CET;1448878;40521657.49;28.00;08/03/2024
APERAM;LU0569974404;APAM;Euronext Amsterdam, Brussels, Paris;EUR;26.20;26.78;26.04;26.65;08/03/2024 17:35;CET;170177;4512370.96;26.65;08/03/2024
ARGENX SE;NL0010832176;ARGX;Euronext Brussels;EUR;359.30;359.90;351.90;356.90;08/03/2024 17:35;CET;47155;16801510.20;356.90;08/03/2024
ASCENCIO;BE0003856730;ASCE;Euronext Brussels;EUR;44.00;44.75;44.00;44.75;08/03/2024 17:36;CET;4846;215628.05;44.75;08/03/2024
ATENOR;BE0003837540;ATEB;Euronext Brussels;EUR;5.90;6.10;5.78;6.06;08/03/2024 17:35;CET;30420;181498.08;6.06;08/03/2024
AVANTIUM;NL0012047823;AVTX;Euronext Amsterdam, Brussels;EUR;2.145;2.18;2.11;2.12;08/03/2024 17:35;CET;261943;562.096.925;2.12;08/03/2024
AZELIS GROUP;BE0974400328;AZE;Euronext Brussels;EUR;19.58;19.65;18.62;18.69;08/03/2024 17:35;CET;238935;4490581.28;18.69;08/03/2024
BANIMMO A;BE0003870871;BANI;Euronext Brussels;EUR;2.98;2.98;2.92;2.92;08/03/2024 14:05;CET;851;2504.30;2.92;08/03/2024
BARCO;BE0974362940;BAR;Euronext Brussels;EUR;15.83;15.83;15.59;15.64;08/03/2024 17:35;CET;59751;935540.25;15.64;08/03/2024
BASILIX CERT;BE0003674851;BAS;Euronext Brussels;EUR;13.60;13.60;13.60;13.60;04/03/2024 16:30;CET;14;190.40;13.60;08/03/2024
BEKAERT;BE0974258874;BEKB;Euronext Brussels;EUR;47.40;47.40;46.44;46.88;08/03/2024 17:35;CET;24215;1133137.26;46.88;08/03/2024
BELYSSE GROUP;BE0974314461;BELYS;Euronext Brussels;EUR;0.82;0.82;0.752;0.752;08/03/2024 16:53;CET;15830;12.054.126;0.752;08/03/2024
BIOCARTIS;BE0974281132;BCART;Euronext Brussels;EUR;0.29;0.293;0.287;0.29;22/09/2023 17:35;CET;112228;32628.61;0.29;08/03/2024
BIOSENIC;BE0974280126;BIOS;Euronext Brussels, Paris;EUR;0.0318;0.0324;0.03;0.03;08/03/2024 17:16;CET;643131;199.301.788;0.03;08/03/2024
BIOTALYS;BE0974386188;BTLS;Euronext Brussels;EUR;3.44;3.44;3.22;3.28;08/03/2024 17:22;CET;27920;92718.79;3.28;08/03/2024
BPOST;BE0974268972;BPOST;Euronext Brussels;EUR;3.296;3.324;3.268;3.292;08/03/2024 17:35;CET;193418;636881.35;3.292;08/03/2024
BQUE NAT. BELGIQUE;BE0003008019;BNB;Euronext Brussels;EUR;440.00;447.00;438.00;440.00;08/03/2024 17:35;CET;94;41384.00;440.00;08/03/2024
