Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
ALTRI SGPS;PTALT0AE0002;ALTR;Euronext Lisbon;EUR;4.512;4.56;4.508;4.54;08/03/2024 22:35;BST;135402;614.177.348;4.54;08/03/2024
B.COM.PORTUGUES;PTBCP0AM0015;BCP;Euronext Lisbon;EUR;0.2673;0.2726;0.2644;0.265;08/03/2024 22:39;BST;39760368;106.164.632.753;0.265;08/03/2024
BENFICA;PTSLB0AM0010;SLBEN;Euronext Lisbon;EUR;2.82;2.82;2.82;2.82;08/03/2024 20:29;BST;2341;6601.62;2.82;08/03/2024
COFINA,SGPS;PTCFN0AE0003;CFN;Euronext Lisbon;EUR;0.42;0.442;0.42;0.442;08/03/2024 15:18;BST;6004;2613.68;0.442;08/03/2024
CORTICEIRA AMORIM;PTCOR0AE0006;COR;Euronext Lisbon;EUR;9.48;9.49;9.37;9.38;08/03/2024 22:36;BST;18660;175257.20;9.38;08/03/2024
CTT CORREIOS PORT;PTCTT0AM0001;CTT;Euronext Lisbon;EUR;3.59;3.63;3.59;3.59;08/03/2024 22:35;BST;181692;654.168.685;3.59;08/03/2024
EDP;PTEDP0AM0009;EDP;Euronext Lisbon;EUR;3.864;3.87;3.791;3.797;08/03/2024 22:35;BST;9548436;36390419.17;3.797;08/03/2024
EDP RENOVAVEIS;ES0127797019;EDPR;Euronext Lisbon;EUR;14.36;14.36;13.79;14.155;08/03/2024 22:35;BST;1284823;18.159.676.325;14.155;08/03/2024
ESTORIL SOL N;PTESO0AM0000;ESON;Euronext Lisbon;EUR;7.30;7.30;7.30;7.30;08/03/2024 21:30;BST;400;2920.00;7.30;08/03/2024
EURONEXT;NL0006294274;ENXP;Euronext Lisbon;EUR;-;-;-;-;-;BST;-;-;-;-
FLEXDEAL;PTFXD0AM0018;FLEXD;Euronext Lisbon;EUR;5.00;5.00;5.00;5.00;08/02/2024 15:27;BST;1000;5000.00;5.00;08/03/2024
FUT.CLUBE PORTO;PTFCP0AM0008;FCP;Euronext Lisbon;EUR;1.14;1.14;1.14;1.14;07/03/2024 16:30;BST;110;125.40;1.14;08/03/2024
GALP ENERGIA-NOM;PTGAL0AM0009;GALP;Euronext Lisbon;EUR;14.66;14.745;14.47;14.47;08/03/2024 22:35;BST;949475;13.781.493.715;14.47;08/03/2024
GLINTT;PTPAD0AM0007;GLINT;Euronext Lisbon;EUR;0.352;0.36;0.352;0.36;08/03/2024 22:35;BST;530;189.20;0.36;08/03/2024
GREENVOLT;PTGNV0AM0001;GVOLT;Euronext Lisbon;EUR;8.15;8.16;8.145;8.15;08/03/2024 22:35;BST;82861;675333.13;8.15;08/03/2024
IBERSOL,SGPS;PTIBS0AM0008;IBS;Euronext Lisbon;EUR;6.50;6.50;6.40;6.48;08/03/2024 22:06;BST;7136;46232.92;6.48;08/03/2024
IMOB.C GRAO PARA;PTGPA0AP0007;GPA;Euronext Lisbon;EUR;0.20;0.20;0.20;0.20;12/09/2023 20:30;BST;1;0.20;0.20;08/03/2024
IMPRESA,SGPS;PTIPR0AM0000;IPR;Euronext Lisbon;EUR;0.144;0.15;0.1435;0.1485;08/03/2024 22:35;BST;85190;12.465.359;0.1485;08/03/2024
INAPA-INV.P.GESTAO;PTINA0AP0008;INA;Euronext Lisbon;EUR;0.033;0.033;0.033;0.033;08/03/2024 21:09;BST;61015;2.013.495;0.033;08/03/2024
J.MARTINS,SGPS;PTJMT0AE0001;JMT;Euronext Lisbon;EUR;20.36;20.48;19.94;20.12;08/03/2024 22:36;BST;1123456;22584606.35;20.12;08/03/2024
LISGRAFICA;PTLIG0AE0002;LIG;Euronext Lisbon;EUR;0.004;0.0045;0.004;0.0045;08/03/2024 21:30;BST;14500;62.50;0.0045;08/03/2024
MARTIFER;PTMFR0AM0003;MAR;Euronext Lisbon;EUR;1.51;1.585;1.51;1.585;08/03/2024 22:35;BST;2813;4.273.905;1.585;08/03/2024
MEDIA CAPITAL;PTGMC0AM0003;MCP;Euronext Lisbon;EUR;1.40;1.40;1.40;1.40;05/03/2024 16:30;BST;1014;1419.60;1.40;08/03/2024
MERLIN PROPERTIES;ES0105025003;MRL;Euronext Lisbon;EUR;9.15;9.30;9.15;9.30;08/03/2024 21:48;BST;1300;11995.00;9.30;08/03/2024
MOTA ENGIL;PTMEN0AE0005;EGL;Euronext Lisbon;EUR;5.24;5.28;5.04;5.06;08/03/2024 22:35;BST;1132161;5822439.77;5.06;08/03/2024
NOS, SGPS;PTZON0AM0006;NOS;Euronext Lisbon;EUR;3.45;3.478;3.424;3.434;08/03/2024 22:35;BST;489341;1.684.213.412;3.434;08/03/2024
NOVABASE,SGPS;PTNBA0AM0006;NBA;Euronext Lisbon;EUR;6.56;6.56;6.32;6.54;08/03/2024 22:35;BST;6301;40036.02;6.54;08/03/2024
PHAROL;PTPTC0AM0009;PHR;Euronext Lisbon;EUR;0.0502;0.0502;0.047;0.0476;08/03/2024 22:35;BST;913698;438.977.228;0.0476;08/03/2024
RAMADA;PTFRV0AE0004;RAM;Euronext Lisbon;EUR;6.72;6.74;6.72;6.72;08/03/2024 21:05;BST;670;4504.20;6.72;08/03/2024
REDITUS,SGPS;PTRED0AP0010;RED;Euronext Lisbon;EUR;0.07;0.07;0.07;0.07;08/03/2024 21:30;BST;10000;700.00;0.07;08/03/2024
REN;PTREL0AM0008;RENE;Euronext Lisbon;EUR;2.27;2.27;2.23;2.24;08/03/2024 22:35;BST;1019878;2.292.830.795;2.24;08/03/2024
SEMAPA;PTSEM0AM0004;SEM;Euronext Lisbon;EUR;13.72;13.86;13.66;13.66;08/03/2024 22:35;BST;7824;107270.12;13.66;08/03/2024
SONAE;PTSON0AM0001;SON;Euronext Lisbon;EUR;0.8795;0.881;0.869;0.875;08/03/2024 22:38;BST;1288167;1.126.607.909;0.875;08/03/2024
SONAECOM,SGPS;PTSNC0AM0006;SNC;Euronext Lisbon;EUR;2.64;2.64;2.64;2.64;08/03/2024 18:14;BST;90;237.60;2.64;08/03/2024
SPORTING;PTSCP0AM0001;SCP;Euronext Lisbon;EUR;0.92;0.92;0.92;0.92;07/03/2024 21:30;BST;15;13.80;0.92;08/03/2024
TEIXEIRA DUARTE;PTTD10AM0000;TDSA;Euronext Lisbon;EUR;0.1105;0.118;0.11;0.1135;08/03/2024 22:35;BST;1157155;1.307.061.435;0.1135;08/03/2024
THE NAVIGATOR COMP;PTPTI0AM0006;NVG;Euronext Lisbon;EUR;3.80;3.83;3.796;3.824;08/03/2024 22:35;BST;348688;1.331.105.836;3.824;08/03/2024
TOYOTA CAETANO;PTSCT0AP0018;SCT;Euronext Lisbon;EUR;5.50;5.50;5.50;5.50;29/02/2024 16:30;BST;9;49.50;5.50;08/03/2024
VAA VISTA ALEGRE;PTVAA0AM0019;VAF;Euronext Lisbon;EUR;0.91;0.93;0.91;0.93;08/03/2024 22:35;BST;60365;55.198.495;0.93;08/03/2024
