Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
A2A;IT0001233417;A2A;Euronext Milan;EUR;1.737;1.755;1.706;1.751;08/03/2024 17:36;CET;14914615;259.493.002.925;1.751;08/03/2024
ABITARE IN;IT0005445280;ABT;Euronext Milan;EUR;4.27;4.30;4.21;4.24;08/03/2024 17:35;CET;79589;339061.35;4.24;08/03/2024
ACEA;IT0001207098;ACE;Euronext Milan;EUR;14.73;14.94;14.58;14.94;08/03/2024 17:37;CET;271023;4018685.17;14.94;08/03/2024
ACINQUE;IT0001382024;AC5;Euronext Milan;EUR;1.98;1.99;1.96;1.99;08/03/2024 16:14;CET;3000;5917.00;1.99;08/03/2024
AEFFE;IT0001384590;AEF;Euronext Milan;EUR;0.905;0.939;0.88;0.927;08/03/2024 17:35;CET;301731;277.617.332;0.927;08/03/2024
AEROPORTO G. M. BO;IT0001006128;ADB;Euronext Milan;EUR;8.00;8.08;7.82;7.92;08/03/2024 17:35;CET;6136;48413.10;7.92;08/03/2024
ALERION;IT0004720733;ARN;Euronext Milan;EUR;22.85;22.85;22.15;22.25;08/03/2024 17:35;CET;14770;330453.30;22.25;08/03/2024
ALGOWATT;IT0004359037;ALW;Euronext Milan;EUR;0.196;0.217;0.19;0.195;08/03/2024 17:24;CET;1011833;2.062.932.633;0.195;08/03/2024
ALKEMY;IT0005314635;ALK;Euronext Milan;EUR;12.30;12.36;12.06;12.30;08/03/2024 17:38;CET;22855;279952.70;12.30;08/03/2024
AMPLIFON;IT0004056880;AMP;Euronext Milan;EUR;32.88;34.23;32.56;33.67;08/03/2024 17:35;CET;1160123;38918099.01;33.67;08/03/2024
ANIMA HOLDING;IT0004998065;ANIM;Euronext Milan;EUR;4.21;4.21;4.118;4.126;08/03/2024 17:35;CET;631420;2.619.095.822;4.126;08/03/2024
ANTARES VISION;IT0005366601;AV;Euronext Milan;EUR;2.535;2.55;2.475;2.53;08/03/2024 17:35;CET;167014;420.060.925;2.53;08/03/2024
AQUAFIL;IT0005241192;ECNL;Euronext Milan;EUR;3.135;3.225;3.135;3.195;08/03/2024 17:35;CET;27477;87590.14;3.195;08/03/2024
ARISTON HOLDING;NL0015000N33;ARIS;Euronext Milan;EUR;5.635;5.82;5.635;5.82;08/03/2024 17:39;CET;450011;2593530.89;5.82;08/03/2024
ASCOPIAVE;IT0004093263;ASC;Euronext Milan;EUR;2.50;2.535;2.405;2.48;08/03/2024 17:35;CET;504140;1252526.23;2.48;08/03/2024
AUTOSTRADE MERID;IT0000084043;AUTME;Euronext Milan;EUR;14.65;14.70;14.25;14.40;08/03/2024 17:35;CET;34871;504755.45;14.40;08/03/2024
AVIO;IT0005119810;AVIO;Euronext Milan;EUR;9.36;9.36;9.13;9.18;08/03/2024 17:35;CET;25444;233994.97;9.18;08/03/2024
AZIMUT;IT0003261697;AZM;Euronext Milan;EUR;25.88;25.90;23.59;24.36;08/03/2024 17:38;CET;6722859;163285416.63;24.36;08/03/2024
B&C SPEAKERS;IT0001268561;BEC;Euronext Milan;EUR;17.50;17.50;17.45;17.45;08/03/2024 10:04;CET;625;10916.75;17.45;08/03/2024
B.F.;IT0005187460;BFG;Euronext Milan;EUR;3.67;3.69;3.63;3.69;08/03/2024 17:35;CET;26897;98065.26;3.69;08/03/2024
