Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
AB SCIENCE;FR0010557264;AB;Euronext Paris;EUR;2.24;2.30;2.155;2.295;08/03/2024 17:35;CET;150271;336.164.685;2.295;08/03/2024
ABC ARBITRAGE;FR0004040608;ABCA;Euronext Paris;EUR;3.71;3.765;3.71;3.74;08/03/2024 17:36;CET;69054;258236.71;3.74;08/03/2024
ABEO;FR0013185857;ABEO;Euronext Paris;EUR;13.40;13.40;13.20;13.20;08/03/2024 14:57;CET;258;3429.65;13.20;08/03/2024
ABIONYX PHARMA;FR0012616852;ABNX;Euronext Paris;EUR;1.052;1.068;1.044;1.046;08/03/2024 17:35;CET;17046;17916.96;1.046;08/03/2024
ABIVAX;FR0012333284;ABVX;Euronext Paris;EUR;13.10;13.18;12.82;12.98;08/03/2024 17:35;CET;12103;157558.26;12.98;08/03/2024
ABL Diagnostics;FR001400AHX6;ABLD;Euronext Paris;EUR;9.70;9.70;9.70;9.70;13/10/2023 11:30;CET;15;145.50;9.70;08/03/2024
ABO GROUP;BE0974278104;ABO;Euronext Brussels, Paris;EUR;5.70;5.70;5.60;5.70;08/03/2024 16:12;CET;1300;7354.50;5.70;08/03/2024
ACANTHE DEV.;FR0000064602;ACAN;Euronext Paris;EUR;0.38;0.388;0.38;0.38;08/03/2024 10:38;CET;5000;1908.00;0.38;08/03/2024
ACCOR;FR0000120404;AC;Euronext Paris;EUR;39.54;39.90;39.39;39.81;08/03/2024 17:36;CET;551552;21915826.04;39.81;08/03/2024
ACTEOS;FR0000076861;EOS;Euronext Paris;EUR;1.335;1.365;1.335;1.365;08/03/2024 17:08;CET;1824;2.459.975;1.365;08/03/2024
ADC SIIC;BE0974269012;ALDV;Euronext Paris;EUR;0.063;0.063;0.063;0.063;28/02/2024 11:30;CET;8597;541.61;0.063;08/03/2024
ADOCIA;FR0011184241;ADOC;Euronext Paris;EUR;9.75;9.84;9.64;9.77;08/03/2024 17:35;CET;25488;248257.08;9.77;08/03/2024
ADP;FR0010340141;ADP;Euronext Paris;EUR;124.50;125.50;121.90;125.50;08/03/2024 17:35;CET;75593;9420074.80;125.50;08/03/2024
ADUX;FR0012821890;ADUX;Euronext Paris, Amsterdam;EUR;1.25;1.32;1.24;1.32;08/03/2024 17:35;CET;9560;12096.99;1.32;08/03/2024
AELIS FARMA;FR0014007ZB4;AELIS;Euronext Paris;EUR;13.35;13.45;13.35;13.45;08/03/2024 15:46;CET;463;6193.70;13.45;08/03/2024
AERKOMM INC;US00774B2088;AKOM;Euronext Paris;EUR;2.40;2.40;2.40;2.40;06/03/2024 11:08;CET;145;348.00;2.40;08/03/2024
AFFLUENT MED BSAR;FR001400FL38;AFMBS;Euronext Paris;EUR;0.01;0.01;0.01;0.01;08/03/2024 13:10;CET;5;0.05;0.01;08/03/2024
