"Date","Price","Open","High","Low","Change %"
"03/13/2024","2.3550","2.3300","2.3630","2.2950","1.25%"
"03/12/2024","2.3260","2.3040","2.3420","2.2750","1.26%"
"03/11/2024","2.2970","2.2690","2.3180","2.2410","1.23%"
"03/08/2024","2.2690","2.2920","2.2970","2.2330","-1.09%"
"03/07/2024","2.2940","2.3320","2.3500","2.2500","-1.59%"
"03/06/2024","2.3310","2.3230","2.3620","2.3150","0.39%"
"03/05/2024","2.3220","2.3940","2.3940","2.2930","-3.13%"
"03/04/2024","2.3970","2.4140","2.4280","2.3850","-0.66%"
"03/01/2024","2.4130","2.4420","2.4720","2.3920","0.50%"
"02/29/2024","2.4010","2.4550","2.5130","2.4010","-2.48%"
"02/28/2024","2.4620","2.4660","2.4690","2.4350","0.24%"
"02/27/2024","2.4560","2.4400","2.4560","2.4110","1.03%"
"02/26/2024","2.4310","2.3780","2.4310","2.3740","2.92%"
"02/23/2024","2.3620","2.4410","2.4780","2.3620","-3.00%"
"02/22/2024","2.4350","2.4500","2.5000","2.4110","-0.25%"
"02/21/2024","2.4410","2.3740","2.4410","2.3670","3.00%"
"02/20/2024","2.3700","2.4090","2.4100","2.3580","-1.70%"
"02/19/2024","2.4110","2.3940","2.4180","2.3870","0.42%"
"02/16/2024","2.4010","2.3590","2.4220","2.3590","2.04%"
"02/15/2024","2.3530","2.3370","2.3530","2.2920","0.21%"
"02/14/2024","2.3480","2.3930","2.3930","2.3450","-1.84%"
"02/13/2024","2.3920","2.3620","2.4150","2.3330","1.10%"
"02/12/2024","2.3660","2.3680","2.3720","2.3640","-0.59%"
"02/09/2024","2.3800","2.3670","2.3900","2.3330","1.02%"
"02/08/2024","2.3560","2.3170","2.3600","2.2950","2.48%"
"02/07/2024","2.2990","2.2920","2.3140","2.2720","0.09%"
"02/06/2024","2.2970","2.3180","2.3430","2.2810","-1.16%"
"02/05/2024","2.3240","2.2420","2.3330","2.2370","4.26%"
"02/02/2024","2.2290","2.1740","2.2470","2.1530","4.26%"
"02/01/2024","2.1380","2.1850","2.2170","2.1190","-1.06%"
"01/31/2024","2.1610","2.2700","2.2700","2.1540","-4.93%"
"01/30/2024","2.2730","2.2350","2.2930","2.1980","1.52%"
"01/29/2024","2.2390","2.2660","2.2710","2.2280","-2.53%"
"01/26/2024","2.2970","2.2510","2.3140","2.2370","0.61%"
"01/25/2024","2.2830","2.3520","2.3710","2.2790","-2.19%"
"01/24/2024","2.3340","2.3240","2.3400","2.2940","-0.64%"
"01/23/2024","2.3490","2.2980","2.3500","2.2930","3.98%"
"01/22/2024","2.2590","2.2730","2.2870","2.2440","-1.95%"
